lat,lon,depth,strike,dip
-29.9,-68.39999999999998,89.281044,139.93532,0.92405283
-29.9,-68.35000000000002,89.233505,134.88841,0.5727058
-29.9,-68.30000000000001,89.21305,106.969055,0.21977583
-29.9,-68.25,89.22272,1.5451957,0.31103092
-29.9,-68.19999999999999,89.26535,344.50336,0.7455599
-29.9,-68.14999999999998,89.34358,340.382,1.2264779
-29.9,-68.10000000000002,89.459724,338.77042,1.7352812
-29.9,-68.05000000000001,89.61576,338.02405,2.2651496
-29.9,-68.0,89.81327,337.6572,2.8100853
-29.849999999999998,-72.55000000000001,7.933839,5.137192,5.4084454
-29.849999999999998,-72.5,8.409165,5.215264,5.913351
-29.849999999999998,-72.44999999999999,8.928498,5.3024106,6.449573
-29.849999999999998,-72.39999999999998,9.494602,5.3957477,7.0183325
-29.849999999999998,-72.35000000000002,10.1104,5.4927406,7.621431
-29.849999999999998,-72.30000000000001,10.77902,5.5911717,8.261125
-29.849999999999998,-72.25,11.503841,5.689136,8.939926
-29.849999999999998,-72.19999999999999,12.288511,5.785056,9.660333
-29.849999999999998,-72.14999999999998,13.136946,5.877705,10.424506
-29.849999999999998,-72.10000000000002,14.053298,5.9662223,11.233896
-29.849999999999998,-72.05000000000001,15.041896,6.050114,12.088864
-29.849999999999998,-72.0,16.107147,6.1292386,12.988301
-29.849999999999998,-71.94999999999999,17.253405,6.203763,13.929312
-29.849999999999998,-71.89999999999998,18.484816,6.274107,14.906969
-29.849999999999998,-71.85000000000002,19.80513,6.3408775,15.914194
-29.849999999999998,-71.80000000000001,21.217503,6.404795,16.941767
-29.849999999999998,-71.75,22.72429,6.466629,17.978493
-29.849999999999998,-71.69999999999999,24.326843,6.5271406,19.011513
-29.849999999999998,-71.64999999999998,26.025326,6.5870447,20.026731
-29.849999999999998,-71.60000000000002,27.818556,6.646985,21.00934
-29.849999999999998,-71.55000000000001,29.703894,6.7075243,21.944384
-29.849999999999998,-71.5,31.677166,6.7691517,22.817303
-29.849999999999998,-71.44999999999999,33.73265,6.832303,23.61446
-29.849999999999998,-71.39999999999998,35.863117,6.8973904,24.323553
