lon_c,lat_c,depth,strike,dip,area_km2
-71.60000000000001,-28.6,21.046977416666667,16.287681333333335,16.270867208333332,434.22620742287853
-71.60000000000001,-28.400000000000002,19.304277083333332,16.103617166666666,14.992123666666666,435.04996605956455
-71.60000000000001,-28.200000000000003,17.755168083333334,15.286032874999998,13.805556916666667,435.8684237497077
-71.60000000000001,-28.0,16.423111416666668,14.074722583333333,12.751710375,436.681570520659
-71.60000000000001,-27.8,15.299437750000001,12.736230166666667,11.841852208333334,437.48939646448184
-71.60000000000001,-27.6,14.354923958333332,11.509676916666665,11.062673166666668,438.291891738072
-71.60000000000001,-27.400000000000002,13.551338874999999,10.543389916666667,10.388396625,439.0890465632779
-71.60000000000001,-27.200000000000003,12.852523833333334,9.838982208333332,9.794494875,439.88085122701943
-71.60000000000001,-27.0,12.233906916666667,9.236171708333334,9.265695916666667,440.6672960814067
-71.60000000000001,-26.8,11.688822416666667,8.439090083333333,8.798979666666666,441.4483715438572
-71.60000000000001,-26.6,11.230509083333333,7.090473508333333,8.40882325,442.2240680972132
-71.60000000000001,-26.400000000000002,10.887373583333334,4.961241566666667,8.132908483333333,442.99437628985686
-71.60000000000001,-26.200000000000003,10.688027791666668,2.2506601058333335,8.019448991666666,443.75928673582587
-71.60000000000001,-26.0,10.638824291666667,239.68874076916666,8.084967358333333,444.5187901149279
-71.60000000000001,-25.8,10.707713583333332,358.11760166666664,8.277322083333333,445.272877172854
-71.60000000000001,-25.6,10.829255958333334,357.90727,8.492960516666667,446.0215387212912
-71.60000000000001,-25.400000000000002,10.99613,358.7948118181818,8.687091863636363,446.76476563803504
-71.60000000000001,-25.200000000000003,11.329904125,90.49456917250001,8.948697,447.5025488670998
-71.60000000000001,-25.0,11.292894,1.71135275,8.8831615,448.23487941882996
-71.4,-30.0,39.6763824375,6.7285789375,25.2802850625,428.3123216983501
-71.4,-29.8,38.3829611875,7.63381661875,24.859762875,429.1729023165932
-71.4,-29.6,36.9137119375,9.0486735,24.3609255,430.0282535984603
-71.4,-29.400000000000002,35.19679,10.93952228125,23.7305978125,430.87836512176597
-71.4,-29.200000000000003,33.205546,13.0055736875,22.929583125,431.72322652816956
-71.4,-29.0,30.98962825,14.8164924375,21.9439975625,432.56282752330145
-71.4,-28.8,28.6652783125,16.007251,20.7934710625,433.39715787688846
-71.4,-28.6,26.374057,16.4075715,19.53302725,434.22620742287853
-71.4,-28.400000000000002,24.238073875,16.054082875,18.2409950625,435.04996605956455
-71.4,-28.200000000000003,22.3343450625,15.12225728125,16.996805375,435.8684237497077
-71.4,-28.0,20.69151,13.85336425,15.860133062500001,436.681570520659
-71.4,-27.8,19.299129125,12.5076441875,14.8583470625,437.48939646448184
-71.4,-27.6,18.1211803125,11.30972246875,13.9866459375,438.291891738072
-71.4,-27.400000000000002,17.111331625,10.374393625,13.22258271875,439.0890465632779
-71.4,-27.200000000000003,16.227891624999998,9.66533028125,12.544879625,439.88085122701943
-71.4,-27.0,15.444697375,9.01177996875,11.9421134375,440.6672960814067
-71.4,-26.8,14.75696396875,8.13956536875,11.41227909375,441.4483715438572
